Title,Year,Format,Region,Theme,Genre,Animated,Watched,Commentary,Nudity,Subtitles,Sound,Runtime,Rating,Starring1,Starring2,Creator1,Decade,Added,Watched
Batman Returns (2-Disc Special Edition),1992,DVD,2,Superhero,Action,N,Y,Y,N,EN/DK,,121,5,Michael Keaton,Michelle Pfeifer,Tim Burton,1990,,29/12/2019
Batman Forever,1995,DVD,2,Superhero,Action,N,N,N,N,,,117,,Val Kilmer,Jim Carrey,Joel Schumacher,1990,23/06/2021,
Batman & Robin,1997,DVD,2,Superhero,Action,N,Y,N,N,EN/DK,,120,4,George Clooney,Arnold Schwarzenegger,Joel Schumacher,1990,30/06/2021,04/07/2021
Batman Begins,2005,Blu-Ray,B,Superhero,Action,N,Y,N,N,DK,,139,6,Christian Bale,,Christopher Nolan,2000,,
Batman V Superman (Ultimate Edition),2016,Blu-Ray,B,Superhero,Action,N,Y,N,N,EN/DK,,182,4,Ben Afleck,Henry Cavill,Zach Snyder,2010,,
Battleship,2012,DVD,2,Alien Conflict,Action,N,N,N,N,EN/DK,,131,,Liam Neeson,Taylor Kitsch,Peter Berg,2010,23/06/2021,
Bean,1997,DVD,2,,Comedy,N,Y,N,,DK,,90,5,Rowan Atkinson,Peter MacNicol,Mel Smith,1990,5/7/2021,18/07/2021
"Bean's Holiday Mr.",2007,DVD,2,,Comedy,N,Y,,,EN/DK,Dolby Digital (5.1),86,4,Rowan Atkinson,Willem Dafoe,Steve Bendelack,2000,19/7/2021,20/08/2021
Beauty and the Beast,1991,Blu-Ray,A/B/C,Romantic,Drama,Y,N,N,N,EN/DK,Dolby Digital (5.1),91,,,,,1990,17/11/2020,
Beauty and the Beast,2017,Blu-Ray,A/B/C,Romantic,Drama,N,Y,N,N,EN/DK,,129,3,Emma Watson,,,2010,,
